Loss,Mem,Throughput,lr
10.361,47.052,448014.0575,0.241
10.3623,47.052,485887.436,0.242
10.3663,47.052,461989.0876,0.243
10.3493,47.052,495380.8314,0.244
10.3488,47.052,469956.4224,0.245
10.3589,47.052,420211.8431,0.246
10.3187,47.052,410202.6326,0.247
10.347,47.052,449232.7257,0.248
10.3391,47.052,479206.7441,0.249
10.3414,47.052,465117.5562,0.25
10.3499,47.052,105381.8997,0.251
10.3504,47.052,521114.9233,0.252
10.332,47.052,488324.1689,0.253
10.32,47.052,591858.1214,0.254
10.3396,47.052,430206.6697,0.255
10.3441,47.052,483090.5246,0.256
10.338,47.052,513405.8149,0.257
10.3324,47.052,459909.1016,0.258
10.3317,47.052,537754.1234,0.259
10.3319,47.052,543352.6144,0.26
10.352,47.052,431518.252,0.261
10.3378,47.052,509743.7091,0.262
10.3162,47.052,496805.0365,0.263
10.3165,47.052,524258.3104,0.264
10.3229,47.052,510186.0709,0.265
10.3237,47.052,130246.2608,0.266
10.3246,47.052,445620.3506,0.267
10.3159,47.052,463227.661,0.268
10.3337,47.052,470937.8728,0.269
10.3108,47.052,509399.9529,0.27
10.3035,47.052,500495.448,0.271
10.314,47.052,445805.2006,0.272
10.2995,47.052,566450.6264,0.273
10.3219,47.052,452370.8873,0.274
10.3033,47.052,555303.0011,0.275
10.3253,47.052,430488.9688,0.276
10.3157,47.052,511867.4815,0.277
10.3061,47.052,522791.1582,0.278
10.2896,47.052,447570.5009,0.279
10.3129,47.052,474017.5165,0.28
10.3092,47.052,461370.8544,0.281
10.3052,47.052,91533.0653,0.282
10.319,47.052,380299.7346,0.283
10.2924,47.052,456446.3401,0.284
10.2998,47.052,454435.9976,0.285
10.2773,47.052,610737.9637,0.286
10.3094,47.052,433525.9874,0.287
10.295,47.052,499479.2409,0.288
10.2952,47.052,465453.1292,0.289
10.2908,47.052,527798.7717,0.29
10.2913,47.052,487938.6831,0.291
10.2685,47.052,538631.6711,0.292
10.2711,47.052,492181.9761,0.293
10.2996,47.052,433314.088,0.294
10.288,47.052,454255.3019,0.295
10.2869,47.052,403206.3936,0.296
10.2869,47.052,114717.1736,0.297
10.2653,47.052,446262.9956,0.298
10.2582,47.052,516988.2053,0.299
10.2635,47.052,558138.0579,0.3
10.2751,47.052,516769.4845,0.301
10.2609,47.052,614132.5466,0.302
10.2651,47.052,536865.8187,0.303
10.2525,47.052,490615.245,0.304
10.2466,47.052,485825.5702,0.305
10.2617,47.052,420341.1925,0.306
10.2706,47.052,429239.5159,0.307
10.2511,47.052,463199.3249,0.308
10.2798,47.052,525603.0517,0.309
10.2428,47.052,439091.3394,0.31
10.26,47.052,464298.5227,0.311
10.2444,47.052,622207.1474,0.312
10.2501,47.052,133707.6175,0.313
10.2418,47.052,542880.3532,0.314
10.2565,47.052,479663.9553,0.315
10.2463,47.052,449239.4499,0.316
10.2631,47.052,480054.4016,0.317
10.2426,47.052,483831.6252,0.318
10.2516,47.052,489000.7317,0.319
10.244,47.052,516640.363,0.32
10.2462,47.052,519585.2594,0.321
10.229,47.052,525518.9582,0.322
10.2417,47.052,495101.9509,0.323
10.2267,47.052,506774.1599,0.324
10.25,47.052,457414.3978,0.325
10.2401,47.052,482283.1135,0.326
10.2307,47.052,519512.7381,0.327
10.22,47.052,439903.4568,0.328
10.1907,47.052,121898.7286,0.329
10.2273,47.052,424849.6942,0.33
10.2037,47.052,577898.2532,0.331
10.1999,47.052,573842.3941,0.332
10.2052,47.052,509908.634,0.333
10.223,47.052,495281.9199,0.334
10.2093,47.052,492999.0766,0.335
10.2064,47.052,521636.3584,0.336
10.1901,47.052,543225.0699,0.337
10.2009,47.052,532723.3482,0.338
10.2117,47.052,457708.1189,0.339
10.209,47.052,521203.4657,0.34
10.1952,47.052,471930.265,0.341
10.1742,47.052,394925.0582,0.342
10.212,47.052,384669.2579,0.343
10.1797,47.052,91307.0862,0.344
10.1933,47.052,433128.4717,0.345
10.1515,47.052,577661.4328,0.346
10.1978,47.052,373749.2716,0.347
10.1711,47.052,531302.4955,0.348
10.1745,47.052,512236.101,0.349
10.2077,47.052,478351.7099,0.35
10.1937,47.052,389427.7451,0.351
10.1651,47.052,439206.3282,0.352
10.1575,47.052,511431.4394,0.353
10.1871,47.052,448139.8903,0.354
10.1497,47.052,529535.0534,0.355
10.1588,47.052,508674.355,0.356
10.1622,47.052,550465.2027,0.357
10.173,47.052,476955.6417,0.358
10.1415,47.052,530978.902,0.359
10.1661,47.052,144344.6413,0.36
10.1749,47.052,448517.7457,0.361
10.1542,47.052,415970.4038,0.362
10.1426,47.052,507614.4424,0.363
10.1208,47.052,577896.5642,0.364
10.1071,47.052,503206.7341,0.365
10.1819,47.052,523979.1787,0.366
10.1133,47.052,474663.7671,0.367
10.159,47.052,451494.1977,0.368
10.1472,47.052,412938.5506,0.369
10.1096,47.052,524611.4089,0.37
10.1536,47.052,446394.8267,0.371
10.1416,47.052,414825.9608,0.372
10.1337,47.052,459126.4064,0.373
10.1145,47.052,489632.2941,0.374
10.1124,47.052,424861.9184,0.375
10.1044,47.052,151613.2678,0.376
10.1325,47.052,441462.996,0.377
10.1123,47.052,573872.4168,0.378
10.1125,47.052,406588.3208,0.379
10.0928,47.052,510865.2912,0.38
10.1034,47.052,507752.1396,0.381
10.062,47.052,534736.719,0.382
10.0644,47.052,623013.3449,0.383
10.106,47.052,527035.6627,0.384
10.0637,47.052,512394.2322,0.385
10.076,47.052,501405.737,0.386
10.0715,47.052,544868.1524,0.387
10.0885,47.052,510875.6259,0.388
10.0764,47.052,505731.3083,0.389
10.0721,47.052,445189.3322,0.39
10.0797,47.052,132671.5173,0.391
10.0908,47.052,493098.4149,0.392
10.0415,47.052,593848.0832,0.393
10.0973,47.052,413326.2928,0.394
10.006,47.052,507193.6622,0.395
10.0111,47.052,461139.1879,0.396
10.0448,47.052,482698.7172,0.397
10.0703,47.052,370235.9221,0.398
10.0591,47.052,406615.7064,0.399
10.0495,47.052,478787.519,0.4
10.0506,47.052,571852.0182,0.401
10.0378,47.052,488130.8878,0.402
10.0193,47.052,422250.6213,0.403
10.0604,47.052,427186.5865,0.404
10.0599,47.052,430852.5408,0.405
10.0473,47.052,414299.6987,0.406
10.0338,47.052,129004.2678,0.407
10.0636,47.052,478712.39,0.408
10.0349,47.052,451848.6122,0.409
10.0101,47.052,483524.5408,0.41
10.0451,47.052,504027.2341,0.411
10.0015,47.052,506772.2341,0.412
10.0162,47.052,464983.062,0.413
9.9999,47.052,457718.1405,0.414
10.009,47.052,511032.1727,0.415
9.9994,47.052,489377.3269,0.416
10.0007,47.052,458493.0134,0.417
9.9951,47.052,563659.364,0.418
10.0223,47.052,401905.4308,0.419
9.9967,47.052,484904.3378,0.42
10.0164,47.052,532866.2454,0.421
9.992,47.052,96321.658,0.422
9.9796,47.052,548415.1691,0.423
9.9961,47.052,490787.8802,0.424
9.9745,47.052,508835.9418,0.425
9.9596,47.052,528055.3479,0.426
9.9509,47.052,491050.9031,0.427
9.9443,47.052,518054.4129,0.428
9.986,47.052,466479.3009,0.429
9.9699,47.052,502689.9809,0.43
9.962,47.052,506069.7657,0.431
9.9962,47.052,407954.5146,0.432
9.9587,47.052,525965.3371,0.433
9.9181,47.052,540226.2284,0.434
9.9414,47.052,490236.2374,0.435
