train_acc,loss,0,1
36.719,10.9501,,
36.458,10.9291,,
36.875,10.9251,,
38.636,10.9542,,
39.062,10.9571,,
38.221,10.9712,,
38.17,10.9448,,
37.083,10.9127,,
36.719,10.8981,,
36.029,10.9444,,
35.243,10.9436,,
35.033,10.9224,,
35.469,10.9065,,
35.863,10.8915,,
36.222,10.8816,,
36.005,10.9158,,
35.938,10.8997,,
36.25,10.9003,,
36.418,10.9268,,
36.343,10.9499,,
36.049,10.9401,,
36.099,10.9827,,
35.938,10.9976,,
35.988,11.0139,,
35.84,11.0409,,
36.269,11.0217,,
36.029,11.0037,,
36.161,11.0173,,
36.372,11.0063,,
36.655,11.0106,,
37.007,10.9901,,
37.179,10.9822,,
36.953,10.9876,,
36.966,10.9838,,
36.979,10.9866,,
37.064,11.0082,,
37.429,11.0005,,
37.917,11.0153,,
38.315,10.9978,,
38.497,11.0137,,
38.346,10.9963,,
38.265,10.9948,,
38.375,1.9253,,
38.174,2.0808,,
38.221,2.111,,
38.502,2.1094,,
38.484,1.996,,
38.523,2.006,,
38.56,2.0412,,
38.706,2.0546,,
38.631,2.0582,,
38.718,2.0569,,
38.854,2.0186,,
38.781,2.0154,,
38.81,2.0323,,
38.839,2.0178,,
38.916,2.0392,,
39.087,2.065,,
39.11,2.0647,,
39.179,2.0719,,
39.246,2.0623,,
39.176,2.054,,
38.929,2.0413,,
38.952,2.0403,,
39.019,2.0334,,
38.998,2.0254,,
39.02,2.023,,
38.958,2.0183,,
38.816,2.0223,,
38.718,2.0431,,
38.662,2.0424,,
38.726,2.043,,
38.711,2.0488,,
38.927,2.0505,,
39.101,2.0388,,
39.157,2.0487,,
39.174,2.0472,,
39.191,2.0445,,
39.39,2.0386,,
39.44,2.0345,,
39.489,2.0236,,
39.607,2.0314,,
39.722,2.0291,,
39.629,2.0321,,
39.64,2.0323,,
39.651,2.0301,,
39.661,2.0207,,
39.737,2.0104,,
39.779,2.0033,,
39.723,2.0103,,
39.796,2.0062,,
39.931,2.0015,,
40.0,2.0041,,
40.037,2.0059,,
40.165,2.0054,,
40.079,2.0008,,
40.084,1.9982,,
40.03,1.9993,,
39.917,1.9974,,
39.895,1.9957,,
39.786,1.9954,,
39.765,1.993,,
39.688,1.9935,,
39.752,1.9959,,
39.788,1.9943,,
39.851,1.9896,,
39.912,1.987,,
39.864,1.9827,,
39.898,1.9797,,
39.824,1.9779,,
39.831,1.9812,,
39.837,1.9855,,
39.87,1.9856,,
39.721,1.9913,,
39.754,1.9928,,
39.812,1.9922,,
39.693,1.9926,,
39.8,1.9927,,
39.782,1.9956,,
39.813,1.993,,
39.771,1.993,,
39.704,1.9921,,
39.688,1.9899,,
39.814,1.9851,,
39.915,1.9839,,
39.991,1.9802,,
40.065,1.981,,
39.954,1.9771,,
40.097,1.9738,,
40.009,1.9743,,
40.014,1.9713,,
39.996,1.9703,,
40.045,1.9717,,
39.894,1.9692,,
40.009,1.9692,,
40.057,1.9672,,
40.148,1.9644,,
40.216,1.9664,,
40.261,1.9669,,
40.242,1.9651,,
40.224,1.9643,,
40.331,1.9611,,
40.292,1.9612,,
40.377,1.9588,,
40.419,1.9594,,
40.421,1.9603,,
40.422,1.9604,,
40.323,1.9617,,
40.385,1.9609,,
40.406,1.9616,,
40.368,1.9624,,
40.311,1.9632,,
40.391,1.9619,,
40.314,1.9605,,
40.49,1.9593,,
40.548,1.9583,,
40.606,1.9561,,
40.549,1.9546,,
40.55,1.9562,,
40.55,1.9551,,
40.476,1.9556,,
40.551,1.9553,,
40.607,1.957,,
40.57,1.9576,,
40.589,1.9575,,
40.643,1.9567,,
40.643,1.9551,,
40.607,1.9544,,
40.625,1.9535,,
40.678,1.9524,,
40.713,1.9506,,
40.782,1.9494,,
40.764,1.9471,,
40.729,1.9433,,
40.728,1.9412,,
40.727,1.9382,,
40.71,1.9405,,
40.76,1.9387,,
40.86,1.9403,,
40.859,1.9391,,
40.883,1.9395,,
34.375,1.9385,,
35.938,1.94,,
38.542,1.9389,,
39.062,1.9385,,
43.125,1.9373,,
43.75,1.9389,,
41.964,1.9382,,
41.406,1.9369,,
40.625,1.9371,,
41.25,1.9333,,
43.466,1.9334,,
44.01,1.9317,,
43.269,1.9298,,
43.304,1.9296,,
42.292,1.9265,,
41.211,1.9273,,
40.441,1.9254,,
40.104,1.9263,,
39.967,1.926,,
40.625,1.9279,,
40.625,1.927,,
41.051,1.9277,,
41.848,1.9252,,
41.667,1.924,,
41.5,1.9213,,
41.346,1.9214,,
41.088,1.9213,,
41.071,1.9197,,
40.948,1.9212,,
40.729,1.9199,,
40.524,1.9189,,
40.527,1.92,,
40.72,1.9193,,
40.441,1.9189,,
40.625,1.9194,,
40.365,1.9204,,
40.794,1.919,,
41.118,1.9178,,
41.346,1.9166,,
41.25,1.9156,,
41.387,1.914,,
41.518,1.913,,
41.424,1.9125,,
41.974,1.9123,,
42.292,1.9121,,
42.595,1.9113,,
43.019,1.9095,,
42.839,1.9085,,
42.857,1.9073,,
43.312,18.4423,,
43.199,19.3299,,
43.149,20.2768,,
43.16,17.9455,,
43.171,17.6811,,
43.352,17.368,,
43.415,16.5996,,
43.421,16.288,,
43.265,16.1905,,
43.379,16.1743,,
43.594,16.0776,,
43.494,15.754,,
43.649,16.0418,,
43.75,16.3075,,
43.848,16.1033,,
43.942,16.0688,,
44.081,16.3222,,
44.216,16.296,,
44.301,16.3463,,
44.293,16.3493,,
44.107,16.1216,,
44.234,15.9938,,
44.054,15.8069,,
44.092,15.6926,,
