Loss,Mem,lr
7.3516,53.3,1.0
7.4269,53.3,1.0
6.9309,53.3,1.0
7.1288,53.3,1.0
6.8556,53.3,1.0
6.9185,53.3,1.0
6.8332,53.3,1.0
7.4079,53.3,1.0
7.3284,53.3,1.0
6.7556,53.3,1.0
6.9478,53.3,1.0
6.7771,53.3,1.0
6.9493,53.3,1.0
7.1557,53.3,1.0
6.9796,53.3,1.0
6.8361,53.3,1.0
7.1176,53.3,1.0
6.9416,53.3,1.0
7.1911,53.3,1.0
7.008,53.3,1.0
7.1185,53.3,1.0
6.5201,53.3,1.0
6.8656,53.3,1.0
7.2834,53.3,1.0
6.9175,53.3,1.0
7.084,53.3,1.0
7.0485,53.3,1.0
7.0309,53.3,1.0
7.1758,53.3,1.0
7.3319,53.3,1.0
6.9801,53.3,1.0
7.0314,53.3,1.0
7.2331,53.3,1.0
6.8757,53.3,1.0
7.0115,53.3,1.0
7.2593,53.3,1.0
7.1214,53.3,1.0
7.2233,53.3,1.0
7.0748,53.3,1.0
6.8952,53.3,1.0
6.9688,53.3,1.0
6.8797,53.3,1.0
6.9447,53.3,1.0
7.2585,53.3,1.0
7.2311,53.3,1.0
6.9574,53.3,1.0
7.2982,53.3,1.0
6.717,53.3,1.0
7.1444,53.3,1.0
6.7451,53.3,1.0
7.0316,53.3,1.0
7.0292,53.3,1.0
6.939,53.3,1.0
6.8126,53.3,1.0
7.4075,53.3,1.0
6.9804,53.3,1.0
7.035,53.3,1.0
7.1341,53.3,1.0
6.8363,53.3,1.0
7.0251,53.3,1.0
7.266,53.3,1.0
6.8669,53.3,1.0
6.9664,53.3,1.0
7.1008,53.3,1.0
6.916,53.3,1.0
7.2742,53.3,1.0
7.1217,53.3,1.0
6.9498,53.3,1.0
7.4186,53.3,1.0
7.1162,53.3,1.0
7.1155,53.3,1.0
6.7361,53.3,1.0
6.7131,53.3,1.0
7.0073,53.3,1.0
6.9632,53.3,1.0
7.1721,53.3,1.0
7.1618,53.3,1.0
6.7498,53.3,1.0
7.1964,53.3,1.0
6.9289,53.3,1.0
7.2429,53.3,1.0
7.0725,53.3,1.0
7.0691,53.3,1.0
6.5546,53.3,1.0
7.0574,53.3,1.0
6.7503,53.3,1.0
7.266,53.3,1.0
7.1587,53.3,1.0
6.8999,53.3,1.0
6.6205,53.3,1.0
7.4109,53.3,1.0
7.0382,53.3,1.0
7.029,53.3,1.0
7.0822,53.3,1.0
6.9103,53.3,1.0
6.9562,53.3,1.0
6.7773,53.3,1.0
6.9668,53.3,1.0
7.2238,53.3,1.0
6.9643,53.3,1.0
6.8556,53.3,1.0
7.0463,53.3,1.0
7.2026,53.3,1.0
7.0374,53.3,1.0
7.1017,53.3,1.0
7.0196,53.3,1.0
7.135,53.3,1.0
7.0283,53.3,1.0
7.093,53.3,1.0
7.1996,53.3,1.0
6.7348,53.3,1.0
7.1895,53.3,1.0
7.1552,53.3,1.0
6.9704,53.3,1.0
7.2647,53.3,1.0
7.013,53.3,1.0
7.0797,53.3,1.0
6.8962,53.3,1.0
7.1224,53.3,1.0
7.1344,53.3,1.0
6.8829,53.3,1.0
6.9082,53.3,1.0
7.1817,53.3,1.0
6.9731,53.3,1.0
6.89,53.3,1.0
7.1422,53.3,1.0
6.8179,53.3,1.0
7.2215,53.3,1.0
6.6841,53.3,1.0
7.076,53.3,1.0
6.8703,53.3,1.0
6.8222,53.3,1.0
7.1978,53.3,1.0
6.9802,53.3,1.0
7.1381,53.3,1.0
7.3111,53.3,1.0
6.9024,53.3,1.0
7.0217,53.3,1.0
7.0417,53.3,1.0
7.0407,53.3,1.0
7.0762,53.3,1.0
6.929,53.3,1.0
7.2625,53.3,1.0
6.862,53.3,1.0
7.1201,53.3,1.0
6.9046,53.3,1.0
6.9138,53.3,1.0
7.0151,53.3,1.0
6.7527,53.3,1.0
6.9005,53.3,1.0
6.9598,53.3,1.0
6.8883,53.3,1.0
6.9221,53.3,1.0
7.1976,53.3,1.0
6.9991,53.3,1.0
6.9478,53.3,1.0
7.1828,53.3,1.0
6.8045,53.3,1.0
6.8488,53.3,1.0
6.5547,53.3,1.0
6.9118,53.3,1.0
7.1796,53.3,1.0
7.1228,53.3,1.0
7.279,53.3,1.0
7.1628,53.3,1.0
7.0462,53.3,1.0
7.141,53.3,1.0
7.224,53.3,1.0
6.8459,53.3,1.0
6.8594,53.3,1.0
6.6349,53.3,1.0
7.0552,53.3,1.0
6.8766,53.3,1.0
7.2654,53.3,1.0
6.8549,53.3,1.0
7.0691,53.3,1.0
7.1014,53.3,1.0
6.8472,53.3,1.0
6.957,53.3,1.0
7.1296,53.3,1.0
6.8062,53.3,1.0
6.8726,53.3,1.0
7.1967,53.3,1.0
7.1699,53.3,1.0
6.7586,53.3,1.0
6.9487,53.3,1.0
7.2663,53.3,1.0
6.6147,53.3,1.0
6.9063,53.3,1.0
6.7638,53.3,1.0
6.8047,53.3,1.0
7.0777,53.3,1.0
7.1228,53.3,1.0
7.1315,53.3,1.0
7.0821,53.3,1.0
6.8892,53.3,1.0
6.8825,53.3,1.0
7.0931,53.3,1.0
7.1195,53.3,1.0
6.9875,53.3,1.0
6.9404,53.3,1.0
7.284,53.3,1.0
7.3806,53.3,1.0
6.9128,53.3,1.0
7.1722,53.3,1.0
6.9426,53.3,1.0
7.0574,53.3,1.0
6.8244,53.3,1.0
7.2842,53.3,1.0
7.0541,53.3,1.0
7.0533,53.3,1.0
6.5315,55.7,1.0
7.1831,55.7,1.0
7.0697,55.7,1.0
7.2491,55.7,1.0
6.9898,55.7,1.0
7.1359,55.7,1.0
6.7984,55.7,1.0
6.9556,55.7,1.0
7.0721,55.7,1.0
6.6075,55.7,1.0
6.7975,55.7,1.0
6.9467,55.7,1.0
6.8398,55.7,1.0
7.2637,55.7,1.0
6.871,55.7,1.0
6.9953,55.7,1.0
6.467,55.7,1.0
6.8289,55.7,1.0
6.9495,55.7,1.0
7.0515,55.7,1.0
7.4614,55.7,1.0
7.0799,55.7,1.0
7.2444,55.7,1.0
6.7618,55.7,1.0
7.0909,55.7,1.0
7.0252,55.7,1.0
7.1792,55.7,1.0
7.031,55.7,1.0
7.3054,55.7,1.0
6.7724,55.7,1.0
6.856,55.7,1.0
7.0069,55.7,1.0
7.1462,55.7,1.0
7.0642,55.7,1.0
6.6876,55.7,1.0
6.8014,55.7,1.0
6.9669,55.7,1.0
7.31,55.7,1.0
6.5807,55.7,1.0
7.0282,55.7,1.0
6.9565,55.7,1.0
6.9622,55.7,1.0
7.2483,55.7,1.0
7.0654,55.7,1.0
