train_acc,loss,0,1
35.312,9.6728,,
35.081,9.6766,,
34.961,9.6765,,
35.133,9.6662,,
34.835,9.6656,,
35.0,9.6604,,
35.33,9.6569,,
35.642,9.6603,,
35.855,9.6618,,
36.218,9.6642,,
35.859,9.6725,,
35.823,9.6714,,
36.086,9.673,,
36.119,9.6704,,
36.293,9.6665,,
36.736,9.6718,,
36.889,9.6681,,
37.168,9.6694,,
36.979,9.6676,,
37.245,9.6679,,
37.812,2.162,,
38.113,2.1714,,
37.861,2.193,,
37.736,2.1911,,
37.731,2.1059,,
38.011,2.0981,,
38.002,2.1136,,
38.322,2.1407,,
38.308,2.1557,,
38.4,2.1507,,
38.438,2.115,,
38.525,2.098,,
38.458,2.0983,,
38.343,2.0812,,
38.574,2.1173,,
38.75,2.1351,,
39.015,2.1306,,
39.226,2.1259,,
39.338,2.1267,,
39.357,2.1173,,
39.33,2.1019,,
39.217,2.1041,,
39.062,2.0885,,
39.041,2.0807,,
39.062,2.08,,
38.958,2.0798,,
38.939,2.0793,,
38.839,2.0806,,
38.862,2.0788,,
38.964,2.0778,,
38.984,2.0864,,
39.198,2.0832,,
39.291,2.0796,,
39.42,2.0873,,
39.509,2.087,,
39.449,2.0843,,
39.499,2.0825,,
39.547,2.0803,,
39.489,2.0752,,
39.572,2.076,,
39.583,2.071,,
39.492,2.0653,,
39.47,2.0616,,
39.583,2.0558,,
39.661,2.0493,,
39.671,2.0458,,
39.714,2.0381,,
39.723,2.0411,,
39.796,2.0373,,
39.836,2.032,,
39.875,2.0277,,
39.944,2.0284,,
39.951,2.0268,,
39.958,2.021,,
39.874,2.0174,,
39.792,2.019,,
39.741,2.0128,,
39.69,2.0135,,
39.612,2.0134,,
39.536,2.0116,,
39.432,2.0119,,
39.414,2.0104,,
39.397,2.0114,,
39.408,2.0096,,
39.556,2.0112,,
39.647,2.0084,,
39.601,2.0039,,
39.557,2.0018,,
39.592,2.0014,,
39.758,2.0066,,
39.818,2.0086,,
39.773,2.0123,,
39.728,2.0124,,
39.812,2.0107,,
39.718,2.0117,,
39.75,2.0138,,
39.807,2.0136,,
39.838,2.0123,,
39.819,2.0105,,
39.777,2.0076,,
39.712,2.0033,,
39.909,1.9997,,
40.057,1.9979,,
40.155,1.9943,,
40.229,1.997,,
40.208,1.9921,,
40.303,1.9899,,
40.328,1.9888,,
40.353,1.9849,,
40.333,1.9848,,
40.402,1.9849,,
40.381,1.9825,,
40.537,1.9799,,
40.538,1.977,,
40.603,1.9779,,
40.603,1.9761,,
40.604,1.9783,,
40.54,1.9766,,
40.562,1.9776,,
40.562,1.9752,,
40.562,1.9738,,
40.522,1.971,,
40.646,1.9699,,
40.666,1.9711,,
40.747,1.9714,,
40.625,1.9702,,
40.665,1.9705,,
40.685,1.9696,,
40.665,1.972,,
40.605,1.9741,,
40.586,1.9729,,
40.547,1.972,,
40.644,1.9713,,
40.683,1.9672,,
40.758,1.966,,
40.758,1.9659,,
40.776,1.9676,,
40.793,1.9675,,
40.755,1.9681,,
40.791,1.9672,,
40.846,1.9691,,
40.808,1.9694,,
40.898,1.9676,,
41.004,1.9673,,
40.984,1.9668,,
40.911,1.9653,,
40.927,1.9652,,
40.96,1.966,,
40.976,1.9668,,
40.992,1.9659,,
41.024,1.9629,,
41.005,1.96,,
41.037,1.9588,,
41.018,1.9556,,
40.999,1.9567,,
40.98,1.9544,,
41.028,1.9538,,
40.993,1.9537,,
41.0,1.9536,,
37.5,1.9527,,
40.625,1.9513,,
39.583,1.9492,,
36.719,1.9484,,
41.25,1.9453,,
41.667,1.9474,,
40.179,1.9478,,
38.281,1.9472,,
37.847,1.9465,,
37.812,1.9453,,
39.773,1.9457,,
39.844,1.9437,,
39.423,1.9417,,
40.179,1.9416,,
40.0,1.9387,,
39.844,1.9397,,
39.706,1.9373,,
39.41,1.9376,,
38.816,1.9375,,
38.75,1.9383,,
38.988,1.9378,,
39.915,1.9375,,
40.761,1.9344,,
41.016,1.9328,,
41.25,1.9306,,
40.986,1.9323,,
40.972,1.9315,,
40.848,1.9309,,
41.164,1.9319,,
40.625,1.9299,,
40.121,1.929,,
39.844,1.9308,,
40.152,1.9303,,
39.89,1.9291,,
40.268,1.9282,,
40.278,1.9301,,
40.372,1.9292,,
40.625,1.9278,,
41.186,1.928,,
40.859,1.9274,,
40.93,1.9249,,
41.295,1.9254,,
41.352,1.9244,,
41.619,1.9232,,
41.875,1.9236,,
42.052,1.9234,,
42.287,1.9226,,
42.188,1.9215,,
42.283,1.9205,,
42.688,9.8835,,
42.831,9.8804,,
42.849,9.7911,,
42.925,9.7131,,
42.94,9.8634,,
43.295,9.8879,,
43.136,9.9093,,
43.202,9.9283,,
43.157,9.9318,,
43.061,9.9721,,
42.969,9.9636,,
42.982,9.9427,,
43.095,10.0032,,
43.056,9.9761,,
43.018,9.9857,,
43.029,10.0001,,
42.992,10.0199,,
43.004,10.0119,,
43.107,10.007,,
43.161,10.0057,,
43.08,10.0107,,
43.046,9.9933,,
42.925,9.9816,,
42.894,9.9598,,
43.032,9.9571,,
43.0,9.9734,,
42.887,9.9585,,
42.898,9.9634,,
42.909,9.9708,,
42.959,9.964,,
42.852,9.9644,,
42.824,9.9575,,
42.912,9.9555,,
42.959,9.9408,,
42.969,9.9378,,
42.868,9.9491,,
43.023,9.9456,,
43.139,9.9509,,
43.288,9.9478,,
43.469,9.9546,,
43.542,9.9606,,
43.475,9.9621,,
43.648,9.9714,,
43.75,9.973,,
43.75,9.9723,,
43.75,9.9837,,
43.848,9.991,,
43.879,9.9904,,
43.909,9.9918,,
43.845,9.9871,,
44.0,9.9969,,
43.998,10.0003,,
44.118,10.0006,,
44.084,9.993,,
44.05,10.0016,,
44.018,10.0105,,
43.897,10.0122,,
43.838,10.0127,,
43.837,10.02,,
43.807,10.0206,,
43.665,10.0229,,
43.694,10.0232,,
43.75,10.0122,,
43.75,10.011,,
43.942,10.0063,,
43.995,10.0023,,
44.046,10.0055,,
44.071,10.0062,,
44.121,10.0093,,
44.249,10.0172,,
44.167,10.017,,
44.112,10.0183,,
44.134,10.0163,,
44.207,10.0131,,
44.153,10.0188,,
44.075,10.0151,,
44.122,10.0163,,
44.144,10.0142,,
44.238,10.0147,,
44.138,1.8993,,
44.159,1.9381,,
44.346,1.9293,,
44.508,1.9743,,
44.525,1.8751,,
44.543,1.9298,,
44.537,1.9583,,
44.577,1.9678,,
44.548,1.9968,,
44.543,1.9906,,
44.492,1.9538,,
44.531,1.9277,,
44.526,1.9299,,
44.586,1.9066,,
44.646,1.9386,,
44.705,1.9501,,
44.634,1.9487,,
44.692,1.94,,
44.622,1.9479,,
44.637,1.9345,,
44.631,1.9251,,
44.667,1.9217,,
44.681,1.9074,,
44.778,1.9009,,
44.771,1.9003,,
44.907,1.9041,,
44.96,1.9054,,
44.972,1.9081,,
44.984,1.9057,,
44.858,1.9141,,
44.772,1.923,,
44.863,1.929,,
44.856,1.9273,,
44.869,1.938,,
44.939,1.9365,,
44.97,1.9365,,
44.905,1.9326,,
44.955,1.9298,,
44.966,1.9217,,
44.922,1.9274,,
44.989,1.9259,,
45.018,1.9208,,
44.938,1.9184,,
44.985,1.9155,,
45.051,1.9055,,
45.079,1.8989,,
45.0,1.8924,,
44.922,1.8976,,
45.039,1.8915,,
45.049,1.8817,,
45.059,1.8785,,
45.052,1.8802,,
45.062,1.8815,,
45.106,1.8802,,
45.116,1.8786,,
45.092,1.8808,,
45.118,1.8754,,
45.212,1.8766,,
45.221,1.8737,,
45.217,1.8724,,
40.625,1.8699,,
43.75,1.875,,
45.833,1.8745,,
45.312,1.8709,,
49.375,1.8696,,
50.0,1.8657,,
48.661,1.8599,,
47.266,1.8581,,
46.181,1.8586,,
45.625,1.864,,
47.159,1.8667,,
46.875,1.8706,,
46.875,1.8703,,
45.982,1.8684,,
45.0,1.8695,,
44.141,1.8702,,
44.118,1.8729,,
44.618,1.8713,,
43.914,1.87,,
44.062,1.8673,,
43.75,1.8629,,
44.176,1.8616,,
44.565,1.8573,,
44.661,1.8529,,
44.75,1.8582,,
44.832,1.8549,,
44.56,1.8511,,
44.866,1.8515,,
44.397,1.8475,,
43.958,1.8462,,
43.548,1.8456,,
43.75,1.845,,
43.655,1.8429,,
43.474,1.8408,,
43.571,1.8396,,
43.75,1.8389,,
44.003,1.8377,,
44.243,1.8354,,
44.551,1.8363,,
44.531,1.836,,
44.665,1.8346,,
44.94,1.8318,,
45.131,1.831,,
45.597,1.8314,,
45.833,1.8326,,
46.196,1.833,,
46.543,1.8342,,
46.224,1.8334,,
46.492,1.8342,,
46.688,1.8372,,
46.814,1.8368,,
46.575,1.8364,,
46.639,1.8358,,
46.644,1.8321,,
46.932,1.8308,,
46.931,1.8299,,
46.93,1.8312,,
46.821,1.8293,,
46.822,1.8288,,
46.771,1.8278,,
46.824,1.8296,,
46.825,1.8306,,
46.677,1.8302,,
46.68,1.8305,,
46.683,1.8295,,
46.78,1.8274,,
46.875,1.8259,,
46.921,1.8268,,
46.966,1.8271,,
46.83,1.8258,,
46.743,1.8231,,
46.571,1.8183,,
46.533,1.8164,,
46.664,1.8133,,
46.625,1.8141,,
46.382,1.8117,,
46.266,1.8117,,
46.314,1.8111,,
46.4,1.8108,,
46.523,1.8092,,
46.798,1.8089,,
46.913,1.8065,,
47.063,1.8053,,
47.135,1.8034,,
47.132,1.8056,,
47.238,1.8061,,
47.414,1.806,,
47.514,1.8056,,
47.577,1.8045,,
47.465,1.8046,,
47.493,1.8032,,
47.52,1.8,,
47.581,1.8007,,
47.706,1.7977,,
47.763,1.7981,,
47.884,1.7966,,
48.003,1.7979,,
48.119,1.7986,,
48.138,1.8004,,
48.312,1.7995,,
48.453,1.8001,,
48.407,1.7974,,
48.513,1.7958,,
48.528,1.7928,,
48.631,1.7934,,
48.644,1.7918,,
48.569,1.7907,,
48.582,1.7913,,
48.509,1.7894,,
48.352,1.7879,,
48.452,1.789,,
48.577,1.7879,,
48.562,1.7864,,
48.657,1.7854,,
48.777,1.7884,,
48.842,1.788,,
48.638,1.7859,,
48.649,1.7853,,
48.661,1.784,,
48.724,1.7823,,
48.657,1.7827,,
48.668,1.7815,,
48.704,1.7819,,
48.664,1.7822,,
48.7,1.7816,,
48.71,1.7802,,
48.745,1.7794,,
48.73,1.778,,
48.765,10.1657,,
48.702,10.1367,,
48.927,10.0323,,
49.006,9.9279,,
49.037,10.2793,,
49.137,10.28,,
49.051,10.2891,,
49.081,10.3095,,
48.974,10.3036,,
49.004,10.3203,,
48.988,10.3029,,
49.04,10.2802,,
49.025,10.3329,,
49.098,10.2937,,
49.148,10.298,,
49.219,10.3106,,
49.267,10.3265,,
49.358,10.3231,,
49.256,10.3274,,
49.24,10.3288,,
49.266,10.3381,,
49.292,10.3255,,
49.296,10.3111,,
49.342,10.2933,,
49.306,10.2859,,
49.391,10.3056,,
49.315,10.2911,,
49.279,10.3032,,
49.283,10.314,,
49.209,10.3029,,
49.135,10.299,,
49.062,10.2924,,
48.991,10.2925,,
49.074,10.2765,,
49.118,10.2677,,
49.162,10.2815,,
49.072,10.2799,,
49.134,10.2837,,
49.158,10.2851,,
49.089,10.2882,,
49.112,10.2952,,
49.191,10.2959,,
49.141,10.3047,,
49.201,10.3067,,
49.296,10.3086,,
49.3,10.3196,,
49.232,10.3322,,
49.237,10.3353,,
49.294,10.3352,,
49.263,10.3275,,
49.267,10.3354,,
49.358,10.338,,
49.378,10.3395,,
49.433,10.3315,,
49.436,10.3394,,
49.44,10.3471,,
49.443,10.3529,,
49.479,10.3505,,
49.482,10.357,,
49.533,10.3577,,
59.375,10.3629,,
51.562,10.3623,,
50.0,10.3504,,
50.781,10.3496,,
53.125,10.3426,,
53.125,10.3362,,
52.679,10.3407,,
51.562,10.3413,,
50.0,10.3445,,
49.062,10.3536,,
