Loss,Mem,lr
7.1078,66.0,1.0
7.0447,66.0,1.0
6.9807,66.0,1.0
6.7617,66.0,1.0
6.9698,66.0,1.0
7.2525,66.0,1.0
6.7883,66.0,1.0
7.0729,66.0,1.0
7.0685,66.0,1.0
6.9647,66.0,1.0
6.7949,66.0,1.0
6.8775,66.0,1.0
6.9737,66.0,1.0
6.7956,66.0,1.0
6.8299,66.0,1.0
6.9866,66.0,1.0
7.2245,66.0,1.0
7.1295,66.0,1.0
7.1688,66.0,1.0
6.9575,66.0,1.0
6.8904,66.0,1.0
6.6425,66.0,1.0
7.1386,66.0,1.0
7.0003,66.0,1.0
6.9268,66.0,1.0
7.0258,66.0,1.0
6.8921,66.0,1.0
6.8275,66.0,1.0
7.0944,66.0,1.0
7.1757,66.0,1.0
6.7327,66.0,1.0
7.0219,66.0,1.0
7.078,66.0,1.0
7.1134,66.0,1.0
7.0495,66.0,1.0
7.1552,66.0,1.0
6.8428,66.0,1.0
7.0136,66.0,1.0
7.1385,66.0,1.0
6.8155,66.0,1.0
6.8873,66.0,1.0
6.8634,66.0,1.0
7.2399,66.0,1.0
7.0151,66.0,1.0
6.7538,66.0,1.0
7.1718,66.0,1.0
6.8172,66.0,1.0
6.9005,66.0,1.0
6.7305,66.0,1.0
6.8127,66.0,1.0
6.9533,66.0,1.0
7.0099,66.0,1.0
7.1046,66.0,1.0
7.0973,66.0,1.0
7.0712,66.0,1.0
6.9259,66.0,1.0
7.0454,66.0,1.0
7.0218,66.0,1.0
7.2245,66.0,1.0
6.9171,66.0,1.0
6.9535,66.0,1.0
6.8568,66.0,1.0
7.1656,66.0,1.0
6.6418,66.0,1.0
7.009,66.0,1.0
7.0679,66.0,1.0
7.1465,66.0,1.0
6.6419,66.0,1.0
6.8704,66.0,1.0
7.0337,66.0,1.0
6.9407,66.0,1.0
6.7812,66.0,1.0
6.897,66.0,1.0
6.5178,66.0,1.0
6.8943,66.0,1.0
6.6749,66.0,1.0
7.1532,66.0,1.0
7.1215,66.0,1.0
6.7085,66.0,1.0
7.1205,66.0,1.0
7.0994,66.0,1.0
7.1312,66.0,1.0
6.9897,66.0,1.0
7.0187,66.0,1.0
6.9124,66.0,1.0
6.7818,66.0,1.0
6.7733,66.0,1.0
7.0232,66.0,1.0
6.9179,66.0,1.0
7.2298,66.0,1.0
7.3906,66.0,1.0
6.6285,66.0,1.0
6.9917,66.0,1.0
6.6942,66.0,1.0
6.8759,66.0,1.0
6.868,66.0,1.0
6.7919,66.0,1.0
6.3311,66.0,1.0
6.806,66.0,1.0
6.697,66.0,1.0
6.9197,66.0,1.0
6.9454,66.0,1.0
7.0544,66.0,1.0
6.6926,66.0,1.0
6.9442,66.0,1.0
7.1069,66.0,1.0
6.8922,66.0,1.0
7.1404,66.0,1.0
6.5988,66.0,1.0
7.2086,66.0,1.0
6.8418,66.0,1.0
6.8159,66.0,1.0
6.9172,66.0,1.0
6.9684,66.0,1.0
6.9032,66.0,1.0
6.9395,66.0,1.0
6.9629,66.0,1.0
6.7808,66.0,1.0
7.1761,66.0,1.0
7.0293,66.0,1.0
6.928,66.0,1.0
7.0671,66.0,1.0
6.888,66.0,1.0
6.3431,66.0,1.0
6.84,66.0,1.0
6.9801,66.0,1.0
6.6582,66.0,1.0
6.8478,66.0,1.0
6.9012,66.0,1.0
7.1018,66.0,1.0
7.036,66.0,1.0
6.931,66.0,1.0
7.2318,66.0,1.0
7.1011,66.0,1.0
7.1134,66.0,1.0
6.7228,66.0,1.0
7.1911,66.0,1.0
6.6309,66.0,1.0
6.4858,66.0,1.0
6.8923,66.0,1.0
7.1667,66.0,1.0
7.065,66.0,1.0
7.151,66.0,1.0
6.8228,66.0,1.0
6.568,66.0,1.0
6.7643,66.0,1.0
6.8106,66.0,1.0
6.689,66.0,1.0
6.0949,66.0,1.0
6.8728,66.0,1.0
7.2368,66.0,1.0
7.0427,66.0,1.0
6.9804,66.0,1.0
6.9339,66.0,1.0
7.1608,66.0,1.0
7.0053,66.0,1.0
7.2488,66.0,1.0
7.032,66.0,1.0
7.1003,66.0,1.0
6.7752,66.0,1.0
6.9788,66.0,1.0
6.9666,66.0,1.0
6.9242,66.0,1.0
6.6449,66.0,1.0
7.2181,66.0,1.0
6.6359,66.0,1.0
6.5366,66.0,1.0
6.7771,66.0,1.0
6.7591,66.0,1.0
7.035,66.0,1.0
6.4806,66.0,1.0
6.9367,66.0,1.0
6.85,66.0,1.0
6.74,66.0,1.0
6.7411,66.0,1.0
6.9755,66.0,1.0
6.6395,66.0,1.0
6.8244,66.0,1.0
7.008,66.0,1.0
6.8804,66.0,1.0
6.8659,66.0,1.0
6.4702,66.0,1.0
6.8526,66.0,1.0
6.7624,66.0,1.0
6.6965,66.0,1.0
6.7574,66.0,1.0
6.687,66.0,1.0
6.6894,66.0,1.0
7.1804,66.0,1.0
7.1565,66.0,1.0
6.8031,66.0,1.0
7.3443,66.0,1.0
6.5758,66.0,1.0
6.8149,66.0,1.0
6.9945,66.0,1.0
6.7632,66.0,1.0
6.5806,66.0,1.0
6.7969,66.0,1.0
6.7361,66.0,1.0
7.0863,66.0,1.0
6.7947,66.0,1.0
7.0073,66.0,1.0
7.0656,66.0,1.0
6.6203,66.0,1.0
6.8883,66.0,1.0
6.9947,66.0,1.0
6.9744,66.0,1.0
7.2681,66.0,1.0
7.1603,66.0,1.0
7.0187,66.0,1.0
7.2212,66.0,1.0
6.792,66.0,1.0
6.358,66.0,1.0
7.0457,66.0,1.0
6.7842,66.0,1.0
7.0498,66.0,1.0
6.1056,66.0,1.0
6.8024,66.0,1.0
6.8062,66.0,1.0
6.675,66.0,1.0
6.8583,66.0,1.0
6.7889,66.0,1.0
6.9156,66.0,1.0
7.0297,66.0,1.0
7.0935,66.0,1.0
6.6061,66.0,1.0
6.5692,66.0,1.0
6.9115,66.0,1.0
6.7593,66.0,1.0
7.0065,66.0,1.0
