Loss,Mem,Throughput,lr,0,1,2,3
9.2294,43.209,28856.1598,1.0,,,,
9.2423,43.209,27689.1043,1.0,,,,
9.2834,43.209,24639.2383,1.0,,,,
9.2058,43.209,23987.9553,1.0,,,,
9.2872,43.209,26342.7528,1.0,,,,
9.2003,43.209,28014.546,1.0,,,,
9.2301,43.209,27382.5738,1.0,,,,
9.2621,43.209,21297.2482,1.0,,,,
9.2652,43.209,30861.2416,1.0,,,,
9.208,43.209,28418.0954,1.0,,,,
9.1634,43.209,34588.346,1.0,,,,
9.2137,43.209,25509.2048,1.0,,,,
9.2155,43.209,28522.1887,1.0,,,,
9.2067,43.209,30248.5042,1.0,,,,
9.2245,43.209,26947.424,1.0,,,,
9.2547,43.209,31642.1753,1.0,,,,
9.1783,43.209,31967.5909,1.0,,,,
9.2248,43.209,25485.4415,1.0,,,,
9.2012,43.209,30052.2706,1.0,,,,
9.1386,43.209,29044.9071,1.0,,,,
9.1467,43.209,30746.2193,1.0,,,,
9.1922,43.209,30123.9868,1.0,,,,
9.1828,43.209,25956.8202,1.0,,,,
9.1982,43.209,26138.9099,1.0,,,,
9.1554,43.209,27217.7793,1.0,,,,
9.1944,43.209,27906.9372,1.0,,,,
9.1438,43.209,29754.6522,1.0,,,,
9.1691,43.209,29331.8689,1.0,,,,
9.18,43.209,26223.2618,1.0,,,,
9.1229,43.209,33294.6706,1.0,,,,
9.2055,43.209,26401.8551,1.0,,,,
9.161,43.209,32530.315,1.0,,,,
9.2224,43.209,25332.559,1.0,,,,
9.1803,43.209,29915.7469,1.0,,,,
9.1648,43.209,30441.3073,1.0,,,,
9.1248,43.209,26103.1003,1.0,,,,
9.1383,43.209,27858.6708,1.0,,,,
9.1676,43.209,26884.2276,1.0,,,,
9.1635,43.209,22188.8205,1.0,,,,
9.1608,43.209,23855.8586,1.0,,,,
9.1262,43.209,28636.2392,1.0,,,,
9.1262,43.209,28246.0956,1.0,,,,
9.0755,43.209,35992.2496,1.0,,,,
9.1307,43.209,25372.6547,1.0,,,,
9.107,43.209,29436.3923,1.0,,,,
9.1136,43.209,27597.6573,1.0,,,,
9.125,43.209,31228.5617,1.0,,,,
9.125,43.209,28668.0755,1.0,,,,
9.0671,43.209,33526.3501,1.0,,,,
9.0505,43.209,30623.2298,1.0,,,,
9.1282,43.209,27204.4943,1.0,,,,
9.1259,43.209,28852.0257,1.0,,,,
9.0645,43.209,25373.0061,1.0,,,,
9.1386,43.209,40963.8831,1.0,,,,
9.0396,43.209,61061.0774,1.0,,,,
9.059,43.209,70952.9503,1.0,,,,
9.0484,43.209,76825.1125,1.0,,,,
9.0776,43.209,70863.4965,1.0,,,,
9.07,43.209,84308.6978,1.0,,,,
