Loss,Mem,lr
6.4676,55.7,1.0
6.9616,55.7,1.0
7.0866,55.7,1.0
7.029,55.7,1.0
7.1251,55.7,1.0
6.9951,55.7,1.0
6.8836,55.7,1.0
6.718,55.7,1.0
6.9705,55.7,1.0
6.8921,55.7,1.0
6.8794,55.7,1.0
7.0342,55.7,1.0
6.9487,55.7,1.0
7.2185,55.7,1.0
7.2878,55.7,1.0
6.9332,55.7,1.0
6.7418,55.7,1.0
6.9685,55.7,1.0
7.0983,55.7,1.0
6.8366,55.7,1.0
7.0336,55.7,1.0
7.2663,55.7,1.0
6.9653,55.7,1.0
6.9679,55.7,1.0
6.793,55.7,1.0
6.6404,55.7,1.0
7.2226,55.7,1.0
6.9935,55.7,1.0
7.1383,55.7,1.0
6.7342,55.7,1.0
6.8845,55.7,1.0
6.7397,55.7,1.0
6.9442,55.7,1.0
7.1663,55.7,1.0
6.8738,55.7,1.0
6.7619,55.7,1.0
6.8086,55.7,1.0
6.4031,55.7,1.0
6.7496,55.7,1.0
6.8865,55.7,1.0
6.9451,55.7,1.0
6.8541,55.7,1.0
7.1009,55.7,1.0
7.0316,55.7,1.0
6.8889,55.7,1.0
7.168,55.7,1.0
6.9004,55.7,1.0
6.9671,55.7,1.0
7.2429,55.7,1.0
6.985,55.7,1.0
7.0077,55.7,1.0
6.9474,55.7,1.0
7.1399,55.7,1.0
7.1264,55.7,1.0
6.9501,55.7,1.0
7.0763,55.7,1.0
7.2532,55.7,1.0
6.6819,55.7,1.0
6.9684,55.7,1.0
6.2643,55.7,1.0
7.0209,55.7,1.0
6.8374,55.7,1.0
6.6821,55.7,1.0
6.9721,55.7,1.0
6.8434,55.7,1.0
6.9051,55.7,1.0
7.0386,55.7,1.0
6.8801,55.7,1.0
6.8905,55.7,1.0
6.9392,55.7,1.0
6.9794,55.7,1.0
7.1016,55.7,1.0
7.057,55.7,1.0
7.1805,55.7,1.0
6.8611,55.7,1.0
6.8795,55.7,1.0
7.1053,55.7,1.0
6.9948,55.7,1.0
6.7807,55.7,1.0
6.9498,55.7,1.0
6.8535,55.7,1.0
7.0356,55.7,1.0
6.958,55.7,1.0
7.1964,55.7,1.0
6.5757,55.7,1.0
6.8409,55.7,1.0
6.8361,55.7,1.0
7.0477,55.7,1.0
6.7263,55.7,1.0
6.6838,55.7,1.0
6.9414,55.7,1.0
7.0115,55.7,1.0
6.823,55.7,1.0
7.0476,55.7,1.0
6.9289,55.7,1.0
6.815,55.7,1.0
6.8674,55.7,1.0
6.8482,55.7,1.0
6.892,55.7,1.0
6.9573,55.7,1.0
6.8251,55.7,1.0
6.6893,55.7,1.0
6.9699,55.7,1.0
6.9405,55.7,1.0
6.6395,55.7,1.0
7.0501,55.7,1.0
7.2055,55.7,1.0
7.02,55.7,1.0
7.1576,55.7,1.0
7.0416,55.7,1.0
6.5605,55.7,1.0
7.4309,55.7,1.0
6.9122,55.7,1.0
7.09,55.7,1.0
7.0847,55.7,1.0
7.0069,55.7,1.0
6.9301,55.7,1.0
6.9787,55.7,1.0
7.2312,55.7,1.0
6.869,55.7,1.0
6.4398,55.7,1.0
7.0314,55.7,1.0
7.1518,55.7,1.0
6.7349,55.7,1.0
7.0635,55.7,1.0
6.962,55.7,1.0
6.5853,55.7,1.0
7.0841,55.7,1.0
6.8366,55.7,1.0
6.7608,55.7,1.0
6.6272,55.7,1.0
7.3033,55.7,1.0
6.9082,55.7,1.0
6.7872,55.7,1.0
6.9144,55.7,1.0
7.0379,55.7,1.0
6.8657,55.7,1.0
7.0789,55.7,1.0
6.9866,55.7,1.0
6.5904,55.7,1.0
6.5715,55.7,1.0
6.9845,55.7,1.0
7.3601,55.7,1.0
6.8851,55.7,1.0
7.0966,55.7,1.0
7.211,55.7,1.0
6.6303,55.7,1.0
6.9565,55.7,1.0
7.0393,55.7,1.0
7.1691,55.7,1.0
6.9518,55.7,1.0
6.6672,55.7,1.0
6.4246,55.7,1.0
7.0259,55.7,1.0
6.7448,55.7,1.0
7.0588,55.7,1.0
6.9842,55.7,1.0
6.8066,55.7,1.0
6.9881,55.7,1.0
6.7842,55.7,1.0
7.2793,55.7,1.0
7.0009,55.7,1.0
7.1555,55.7,1.0
6.9664,55.7,1.0
7.1223,55.7,1.0
7.035,55.7,1.0
6.8275,55.7,1.0
7.0228,55.7,1.0
7.0118,55.7,1.0
7.1739,55.7,1.0
7.0013,55.7,1.0
7.1392,55.7,1.0
6.9539,55.7,1.0
7.06,55.7,1.0
6.9077,55.7,1.0
7.0744,55.7,1.0
7.0017,55.7,1.0
6.4502,55.7,1.0
7.1108,55.7,1.0
6.9536,55.7,1.0
7.1191,55.7,1.0
6.5937,55.7,1.0
7.1518,55.7,1.0
7.0127,55.7,1.0
6.9984,55.7,1.0
7.0914,55.7,1.0
6.8744,55.7,1.0
6.8825,55.7,1.0
7.2414,55.7,1.0
6.7265,55.7,1.0
7.1666,55.7,1.0
6.8953,55.7,1.0
7.2013,55.7,1.0
7.1447,55.7,1.0
6.7266,55.7,1.0
7.2378,55.7,1.0
6.9828,55.7,1.0
6.9991,55.7,1.0
6.8839,55.7,1.0
6.8277,55.7,1.0
7.0515,55.7,1.0
7.1558,55.7,1.0
6.7361,55.7,1.0
6.8013,55.7,1.0
7.1846,55.7,1.0
7.0952,55.7,1.0
7.0131,55.7,1.0
6.9815,55.7,1.0
7.0744,55.7,1.0
6.9928,55.7,1.0
7.3023,55.7,1.0
7.2295,55.7,1.0
6.8212,55.7,1.0
7.0774,55.7,1.0
7.0762,55.7,1.0
7.091,55.7,1.0
6.9678,55.7,1.0
6.7082,55.7,1.0
7.0397,55.7,1.0
6.9336,55.7,1.0
7.0071,55.7,1.0
7.0789,55.7,1.0
7.1274,55.7,1.0
6.9394,55.7,1.0
6.8981,55.7,1.0
7.0669,55.7,1.0
7.1012,55.7,1.0
7.0059,55.7,1.0
6.8019,55.7,1.0
6.9354,55.7,1.0
7.2689,55.7,1.0
6.835,55.7,1.0
6.7769,55.7,1.0
6.633,55.7,1.0
6.9865,55.7,1.0
7.4712,55.7,1.0
6.9021,55.7,1.0
7.0758,55.7,1.0
7.1165,55.7,1.0
6.7388,55.7,1.0
7.0575,55.7,1.0
7.0384,55.7,1.0
6.9034,55.7,1.0
6.9765,55.7,1.0
6.9334,55.7,1.0
7.0286,55.7,1.0
6.8053,55.7,1.0
6.9899,55.7,1.0
6.9389,55.7,1.0
6.8302,55.7,1.0
6.7395,55.7,1.0
7.1359,55.7,1.0
7.0017,55.7,1.0
6.8478,55.7,1.0
6.9743,55.7,1.0
6.8813,55.7,1.0
7.0271,55.7,1.0
6.8347,55.7,1.0
6.9898,55.7,1.0
6.976,55.7,1.0
7.0212,55.7,1.0
6.915,55.7,1.0
6.9509,55.7,1.0
6.8644,55.7,1.0
7.1689,55.7,1.0
7.15,55.7,1.0
6.4074,55.7,1.0
6.7451,55.7,1.0
6.7443,55.7,1.0
6.745,55.7,1.0
7.006,55.7,1.0
7.115,55.7,1.0
7.2202,55.7,1.0
6.9138,55.7,1.0
6.853,55.7,1.0
6.8979,55.7,1.0
6.746,55.7,1.0
6.7119,55.7,1.0
7.0358,55.7,1.0
7.0744,55.7,1.0
7.0393,55.7,1.0
6.8896,55.7,1.0
6.9249,55.7,1.0
6.7518,55.7,1.0
6.7242,55.7,1.0
7.1159,55.7,1.0
7.0078,55.7,1.0
6.3684,55.7,1.0
6.4072,55.7,1.0
6.9682,55.7,1.0
6.7844,55.7,1.0
7.0187,55.7,1.0
7.2649,55.7,1.0
6.826,55.7,1.0
7.1009,55.7,1.0
7.0102,55.7,1.0
6.5125,55.7,1.0
6.9639,55.7,1.0
7.0788,55.7,1.0
6.8609,55.7,1.0
6.9336,55.7,1.0
6.9171,55.7,1.0
7.1448,55.7,1.0
6.8873,55.7,1.0
7.2807,55.7,1.0
6.878,55.7,1.0
6.9545,55.7,1.0
6.7355,55.7,1.0
7.0044,55.7,1.0
6.903,55.7,1.0
6.7097,55.7,1.0
7.0119,55.7,1.0
6.7437,55.7,1.0
6.2598,55.7,1.0
6.8699,55.7,1.0
6.7594,55.7,1.0
6.72,55.7,1.0
6.8641,55.7,1.0
6.9393,55.7,1.0
6.4769,55.7,1.0
6.8414,55.7,1.0
6.807,55.7,1.0
7.0747,55.7,1.0
7.0269,55.7,1.0
6.8332,55.7,1.0
7.2485,55.7,1.0
6.7831,55.7,1.0
6.6012,55.7,1.0
6.7474,55.7,1.0
7.3568,55.7,1.0
6.9701,55.7,1.0
6.839,55.7,1.0
7.1309,55.7,1.0
7.0069,55.7,1.0
7.077,55.7,1.0
6.8547,55.7,1.0
7.0236,55.7,1.0
6.6536,55.7,1.0
7.0292,55.7,1.0
6.6723,55.7,1.0
7.2318,55.7,1.0
6.9291,55.7,1.0
6.9172,55.7,1.0
7.0144,55.7,1.0
6.9269,55.7,1.0
6.4315,55.7,1.0
6.9456,55.7,1.0
7.0575,55.7,1.0
6.6983,55.7,1.0
