Loss,Mem,Throughput,lr
10.2021,41.022,89.0242,1.0
10.201,41.022,92.8543,1.0
10.1885,41.022,90.1799,1.0
10.2001,41.022,89.9593,1.0
10.1562,41.022,74.8735,1.0
10.2043,41.022,89.7974,1.0
10.1821,41.022,89.5524,1.0
10.1517,41.022,92.3341,1.0
10.162,41.022,111.3101,1.0
10.1758,41.022,89.8474,1.0
10.16,41.022,90.9892,1.0
10.1649,41.022,91.5552,1.0
10.1457,41.022,89.9135,1.0
10.165,41.022,90.3519,1.0
10.1524,41.022,93.6599,1.0
10.1736,41.022,90.6301,1.0
10.1426,41.022,89.9402,1.0
10.1462,41.022,89.0283,1.0
10.1245,41.022,88.6568,1.0
10.1344,41.022,67.8464,1.0
10.1262,41.022,91.2502,1.0
10.1265,41.022,90.874,1.0
10.1377,41.022,90.6707,1.0
10.1458,41.022,91.517,1.0
10.0993,41.022,91.0814,1.0
10.1557,41.022,92.3474,1.0
10.0918,41.022,91.3045,1.0
10.1228,41.022,91.0459,1.0
10.1015,41.022,90.9204,1.0
10.1334,41.03,88.771,1.0
10.1081,41.03,124.8784,1.0
10.1196,41.03,118.3123,1.0
10.0864,41.03,119.8851,1.0
10.0976,41.03,115.8505,1.0
10.0765,41.03,117.4286,1.0
10.0741,41.03,88.1665,1.0
10.0918,41.03,118.1567,1.0
10.0976,41.03,118.1772,1.0
10.0818,41.03,118.6024,1.0
10.076,41.022,117.619,1.0
10.0633,41.022,117.7018,1.0
10.0792,41.022,109.115,1.0
10.0619,41.022,90.0622,1.0
10.0632,41.022,91.7757,1.0
10.0352,41.022,90.6397,1.0
10.0432,41.022,91.3181,1.0
10.0448,41.022,90.6283,1.0
10.0458,41.022,90.8693,1.0
10.0615,41.022,91.5285,1.0
10.0551,41.022,95.685,1.0
10.0836,41.022,74.0795,1.0
10.0367,41.022,92.8536,1.0
10.0164,41.022,92.0438,1.0
10.0104,41.022,92.57,1.0
10.037,41.022,91.9802,1.0
10.0262,41.022,90.7393,1.0
9.9948,41.022,92.3957,1.0
10.0275,41.022,91.2394,1.0
10.0408,41.022,91.5135,1.0
10.0585,41.022,92.9808,1.0
10.0318,41.022,94.4059,1.0
9.9614,41.022,97.718,1.0
9.9935,41.022,97.9908,1.0
9.9849,41.022,94.877,1.0
9.9941,41.022,92.3014,1.0
9.9968,41.022,96.2495,1.0
9.9699,41.022,75.9012,1.0
10.0139,41.022,95.628,1.0
9.9789,41.022,94.9697,1.0
9.969,41.022,92.5197,1.0
9.9974,41.022,94.395,1.0
9.9767,41.022,94.1667,1.0
9.9302,41.022,95.3803,1.0
9.9375,41.022,94.3294,1.0
9.9301,41.022,93.5856,1.0
9.9136,41.022,90.6873,1.0
9.9155,41.022,89.2285,1.0
9.9694,41.022,89.9279,1.0
9.943,41.022,91.1595,1.0
9.9396,41.031,90.8525,1.0
9.9308,41.031,93.2046,1.0
9.9156,41.031,90.6068,1.0
9.9333,41.031,68.4471,1.0
9.894,41.031,90.3684,1.0
9.9201,41.031,90.2378,1.0
9.9274,41.031,90.1329,1.0
9.9687,41.031,91.4656,1.0
9.9,41.031,90.675,1.0
9.8796,41.031,90.4055,1.0
9.911,41.022,91.1807,1.0
9.9417,41.022,90.9344,1.0
9.8946,41.022,90.1015,1.0
9.9159,41.022,91.8186,1.0
9.8732,41.022,92.8251,1.0
9.871,41.022,90.1957,1.0
9.8482,41.022,91.613,1.0
9.887,41.022,90.9052,1.0
9.8631,41.022,74.883,1.0
9.8537,41.022,92.2258,1.0
9.9104,41.022,91.5687,1.0
9.8721,41.022,91.0883,1.0
9.8435,41.022,91.3552,1.0
9.8649,41.022,90.9288,1.0
9.8256,41.022,90.4422,1.0
9.8025,41.022,90.8624,1.0
9.8473,41.022,90.3443,1.0
9.8812,41.022,90.0838,1.0
9.8413,41.022,94.154,1.0
9.8335,41.022,98.633,1.0
9.8862,41.022,91.0915,1.0
9.8314,41.022,91.4025,1.0
9.838,41.022,93.5923,1.0
9.815,41.022,121.8523,1.0
9.8074,41.022,77.4194,1.0
9.8673,41.022,91.7712,1.0
9.8369,41.022,90.9451,1.0
9.8072,41.022,92.0113,1.0
9.8132,41.022,90.7603,1.0
9.7937,41.022,91.2222,1.0
9.7755,41.022,91.3993,1.0
9.7943,41.022,91.1128,1.0
9.8273,41.022,91.5959,1.0
9.761,41.022,92.1499,1.0
9.7723,41.022,91.4715,1.0
9.8084,41.022,92.2775,1.0
9.7503,41.022,92.2473,1.0
9.7929,41.022,91.2247,1.0
9.7363,41.022,91.2169,1.0
9.7452,41.022,90.394,1.0
9.7872,41.031,71.7808,1.0
9.7878,41.031,90.8002,1.0
9.7309,41.031,90.9136,1.0
9.6701,41.031,91.2585,1.0
9.7372,41.031,91.5321,1.0
9.7342,41.031,91.706,1.0
9.7102,41.031,89.8612,1.0
9.7445,41.031,91.4733,1.0
9.7678,41.031,90.4709,1.0
9.7212,41.031,93.8114,1.0
9.7643,41.023,91.3247,1.0
9.7223,41.023,90.771,1.0
9.6859,41.023,93.7538,1.0
9.669,41.023,92.36,1.0
9.6987,41.023,91.9332,1.0
9.7216,41.023,74.6759,1.0
9.7102,41.023,90.4643,1.0
9.7055,41.023,90.951,1.0
9.7032,41.023,90.9548,1.0
9.663,41.023,91.3614,1.0
9.6771,41.023,92.2321,1.0
9.6875,41.023,90.382,1.0
9.6466,41.023,91.727,1.0
9.712,41.023,90.7802,1.0
9.6771,41.023,91.4178,1.0
9.7234,41.023,91.5871,1.0
9.6654,41.023,91.6144,1.0
9.6727,41.023,89.8446,1.0
9.6518,41.023,91.1893,1.0
9.6602,41.023,91.5793,1.0
9.6763,41.023,94.1524,1.0
9.6673,41.023,68.8384,1.0
9.6674,41.023,90.4345,1.0
9.6321,41.023,90.5317,1.0
9.657,41.023,91.9725,1.0
9.5751,41.023,90.1644,1.0
9.649,41.023,90.9351,1.0
9.6003,41.023,91.7737,1.0
9.6247,41.023,90.9457,1.0
9.5898,41.023,92.2372,1.0
9.6059,41.023,90.142,1.0
9.57,41.023,90.7586,1.0
9.5484,41.023,90.0952,1.0
9.6176,41.023,92.3654,1.0
9.6271,41.023,111.2505,1.0
9.5936,41.023,118.558,1.0
9.6392,41.023,94.1367,1.0
9.5522,41.023,118.1291,1.0
9.5358,41.023,118.5901,1.0
9.5442,41.023,118.5838,1.0
9.5572,41.032,118.0565,1.0
9.5542,41.032,118.3714,1.0
9.5486,41.032,118.3557,1.0
9.5577,41.032,118.3412,1.0
9.5414,41.032,118.2271,1.0
9.5596,41.032,129.5035,1.0
9.5807,41.032,91.0697,1.0
9.5431,41.032,90.7856,1.0
9.5388,41.032,90.1951,1.0
9.5274,41.032,91.0066,1.0
9.54,41.024,90.8556,1.0
9.5239,41.024,93.0768,1.0
9.5105,41.024,75.8844,1.0
9.4736,41.024,91.8069,1.0
9.5577,41.024,91.7403,1.0
9.5261,41.024,91.1502,1.0
9.5372,41.024,92.3068,1.0
9.5214,41.024,91.5317,1.0
9.5616,41.024,90.7403,1.0
9.4998,41.024,91.4035,1.0
9.5158,41.023,91.7656,1.0
9.5053,41.023,91.9448,1.0
9.5223,41.023,90.492,1.0
9.4951,41.023,90.5093,1.0
9.5266,41.023,96.4657,1.0
9.5065,41.023,90.4053,1.0
9.486,41.023,90.6385,1.0
9.473,41.023,91.0228,1.0
9.4443,41.023,73.465,1.0
9.5037,41.023,91.2834,1.0
9.4475,41.024,90.3341,1.0
9.4209,41.024,92.0511,1.0
9.4509,41.024,91.5104,1.0
9.4629,41.024,91.4631,1.0
9.4445,41.024,91.0586,1.0
9.4808,41.024,92.1575,1.0
9.426,41.024,90.1078,1.0
9.4508,41.024,89.3718,1.0
9.4472,41.024,90.3246,1.0
9.4226,41.024,123.1446,1.0
9.4271,41.024,90.44,1.0
9.408,41.024,93.0048,1.0
9.4602,41.024,89.7474,1.0
9.3887,41.024,69.5425,1.0
9.4268,41.024,89.7214,1.0
9.3342,41.024,91.2439,1.0
9.4488,41.024,90.9891,1.0
9.4335,41.024,90.938,1.0
9.3811,41.024,91.3134,1.0
9.4942,41.024,90.0863,1.0
9.3928,41.032,90.4681,1.0
9.3695,41.032,91.897,1.0
9.3487,41.032,89.9838,1.0
9.4255,41.032,89.4324,1.0
9.3803,41.032,95.0763,1.0
9.351,41.032,88.9228,1.0
9.3474,41.032,90.5936,1.0
9.3966,41.032,89.7739,1.0
9.3586,41.032,90.0707,1.0
9.3746,41.032,75.0425,1.0
9.3807,41.024,89.8787,1.0
9.3874,41.024,89.6763,1.0
9.3418,41.024,89.4315,1.0
9.3122,41.024,88.846,1.0
9.2966,41.024,89.4536,1.0
9.416,41.024,90.6099,1.0
9.2858,41.024,89.8717,1.0
9.4023,41.024,90.0941,1.0
9.3788,41.024,89.532,1.0
9.3242,41.024,89.0856,1.0
9.4051,41.024,106.6973,1.0
9.3478,41.024,90.2542,1.0
9.3661,41.024,94.2472,1.0
9.3127,41.024,90.9151,1.0
9.3045,41.024,91.2623,1.0
9.3135,41.024,75.873,1.0
9.3406,41.024,89.7179,1.0
9.3305,41.024,90.5375,1.0
9.2878,41.024,91.3297,1.0
9.2889,41.024,90.7749,1.0
9.2928,41.023,90.6959,1.0
9.2031,41.023,91.6929,1.0
9.2306,41.023,90.4888,1.0
9.2773,41.023,90.5094,1.0
9.2479,41.023,91.7453,1.0
9.2521,41.023,94.9866,1.0
9.2937,41.023,91.5326,1.0
9.2156,41.023,90.427,1.0
9.2541,41.023,90.9597,1.0
9.252,41.023,91.14,1.0
9.2835,41.023,76.3807,1.0
9.3062,41.023,91.4714,1.0
9.2098,41.023,89.7423,1.0
9.349,41.023,89.5936,1.0
9.1532,41.023,89.9579,1.0
9.1545,41.023,91.2444,1.0
9.2382,41.023,90.1885,1.0
9.2573,41.023,90.276,1.0
9.2637,41.023,90.5147,1.0
9.2572,41.023,91.3188,1.0
9.2183,41.032,90.7448,1.0
9.2321,41.032,90.5646,1.0
9.2116,41.032,91.8608,1.0
9.2524,41.032,93.5671,1.0
9.2215,41.032,89.1526,1.0
9.2373,41.032,89.6139,1.0
9.2253,41.032,74.8428,1.0
9.2673,41.032,91.7332,1.0
9.1886,41.032,90.7441,1.0
9.1861,41.032,89.8473,1.0
9.2462,41.024,90.826,1.0
9.1945,41.024,93.094,1.0
9.2334,41.024,92.8132,1.0
9.1772,41.024,96.1206,1.0
9.2181,41.024,93.7515,1.0
9.1698,41.024,94.7672,1.0
9.167,41.024,93.7354,1.0
9.167,41.024,98.0383,1.0
9.2002,41.024,97.5878,1.0
9.1597,41.024,92.5444,1.0
9.2082,41.023,97.7393,1.0
9.1663,41.023,67.7255,1.0
9.1825,41.023,92.7611,1.0
9.1719,41.023,96.389,1.0
9.1485,41.023,94.1562,1.0
9.1213,41.023,95.3027,1.0
9.1469,41.023,93.3657,1.0
9.1027,41.023,93.4316,1.0
9.2013,41.023,91.7063,1.0
9.1483,41.023,89.4876,1.0
9.1568,41.024,89.6618,1.0
9.1899,41.024,88.8991,1.0
9.161,41.024,88.4928,1.0
9.0885,41.024,91.2205,1.0
9.1322,41.024,121.0605,1.0
9.1417,41.024,88.7539,1.0
9.1449,41.024,96.6746,1.0
9.056,41.024,93.1104,1.0
9.1343,41.024,117.9032,1.0
9.1578,41.024,118.1381,1.0
9.1802,41.024,118.1566,1.0
9.067,41.024,117.8236,1.0
9.1278,41.024,117.9117,1.0
9.1365,41.024,117.7422,1.0
9.1748,41.024,118.5131,1.0
9.1052,41.024,118.3287,1.0
9.1495,41.024,118.0837,1.0
9.1585,41.024,127.8371,1.0
9.0984,41.024,89.9247,1.0
9.0833,41.024,90.8195,1.0
9.1269,41.032,91.483,1.0
9.0831,41.032,91.9419,1.0
9.1101,41.032,88.9476,1.0
9.0554,41.032,75.7953,1.0
9.0833,41.032,91.4545,1.0
9.0782,41.032,90.7735,1.0
9.0615,41.032,88.8067,1.0
9.0551,41.032,90.3492,1.0
9.0416,41.032,90.0102,1.0
9.1408,41.032,89.5624,1.0
9.0681,41.023,89.9139,1.0
9.1438,41.023,89.6411,1.0
9.0836,41.023,90.0681,1.0
9.0524,41.023,90.2237,1.0
9.0704,41.023,93.5766,1.0
9.0263,41.023,89.8772,1.0
9.0363,41.023,90.8326,1.0
9.1052,41.023,89.0205,1.0
9.1217,41.023,76.6619,1.0
9.1039,41.023,90.3873,1.0
9.0132,41.023,90.639,1.0
9.1047,41.023,90.1008,1.0
9.1015,41.023,89.9011,1.0
