Loss,Mem,Throughput,lr,0,1,2,3
9.2107,43.601,29814.2755,1.0,,,,
9.2501,43.601,25526.59,1.0,,,,
9.3046,43.601,23367.6536,1.0,,,,
9.2578,43.601,26039.279,1.0,,,,
9.2608,43.601,29017.4522,1.0,,,,
9.3038,43.601,25365.4367,1.0,,,,
9.2573,43.601,27493.9153,1.0,,,,
9.2638,43.601,26657.1602,1.0,,,,
9.2186,43.601,27498.2614,1.0,,,,
9.2254,43.601,21915.233,1.0,,,,
9.2637,43.601,26676.2159,1.0,,,,
9.2433,43.601,26518.5485,1.0,,,,
9.228,43.601,25785.3468,1.0,,,,
9.2426,43.601,28083.6006,1.0,,,,
9.2119,43.601,29843.7818,1.0,,,,
9.2438,43.605,25377.1917,1.0,,,,
9.2161,43.605,27166.9649,1.0,,,,
9.2361,43.605,26040.618,1.0,,,,
9.1705,43.605,28027.979,1.0,,,,
9.2001,43.605,26604.3525,1.0,,,,
9.2327,43.605,23768.7516,1.0,,,,
9.1683,43.605,23154.991,1.0,,,,
9.256,43.605,25391.7576,1.0,,,,
9.1623,43.605,27041.9459,1.0,,,,
9.1773,43.605,26321.3399,1.0,,,,
9.2195,43.606,19940.8875,1.0,,,,
9.2286,43.606,29536.58,1.0,,,,
9.1485,43.606,27547.3663,1.0,,,,
9.0995,43.606,33422.2589,1.0,,,,
9.1622,43.606,24454.2017,1.0,,,,
9.1865,43.606,27546.791,1.0,,,,
9.1497,43.606,29221.1139,1.0,,,,
9.1789,43.606,25931.9137,1.0,,,,
9.2181,43.606,30455.5676,1.0,,,,
9.1257,43.606,30830.3456,1.0,,,,
9.1858,43.602,24575.4114,1.0,,,,
9.1622,43.602,28796.139,1.0,,,,
9.107,43.602,27909.6527,1.0,,,,
9.102,43.602,29754.6965,1.0,,,,
9.1433,43.602,29040.5294,1.0,,,,
9.1497,43.602,24805.7827,1.0,,,,
9.1787,43.602,25299.3637,1.0,,,,
9.1356,43.602,26165.594,1.0,,,,
9.1529,43.602,26684.4331,1.0,,,,
9.1058,43.602,28778.5142,1.0,,,,
9.1381,43.6,28349.8509,1.0,,,,
9.1431,43.6,25278.1125,1.0,,,,
9.0733,43.6,31909.9529,1.0,,,,
9.1703,43.6,25628.6444,1.0,,,,
9.1297,43.6,31303.5726,1.0,,,,
9.1919,43.6,24227.4793,1.0,,,,
9.1457,43.6,28906.5057,1.0,,,,
9.1241,43.6,29510.9778,1.0,,,,
9.0955,43.6,25224.4125,1.0,,,,
9.0997,43.6,26689.9596,1.0,,,,
9.1295,43.601,25937.6206,1.0,,,,
9.1289,43.601,21251.8251,1.0,,,,
9.1304,43.601,22964.3333,1.0,,,,
9.0779,43.601,27475.7024,1.0,,,,
9.0857,43.601,27164.5261,1.0,,,,
9.0338,43.601,34504.4887,1.0,,,,
9.0898,43.601,24551.3295,1.0,,,,
9.0688,43.601,28345.9264,1.0,,,,
9.0783,43.601,26475.6348,1.0,,,,
9.0898,43.601,29902.6923,1.0,,,,
9.0869,43.603,27607.3046,1.0,,,,
9.0357,43.603,32176.2052,1.0,,,,
9.0022,43.603,29297.8759,1.0,,,,
9.0857,43.603,26216.4561,1.0,,,,
9.0915,43.603,27781.998,1.0,,,,
9.0273,43.603,24358.9728,1.0,,,,
9.121,43.603,21676.1332,1.0,,,,
9.0229,43.603,25124.7346,1.0,,,,
9.0208,43.603,29253.6788,1.0,,,,
9.0212,43.603,31685.3218,1.0,,,,
9.0413,43.61,29100.8249,1.0,,,,
9.048,43.61,34655.2386,1.0,,,,
9.0342,43.61,30364.2828,1.0,,,,
9.0425,43.61,27724.1175,1.0,,,,
9.0467,43.61,27406.8707,1.0,,,,
9.0259,43.61,23569.2658,1.0,,,,
9.0914,43.61,24321.2701,1.0,,,,
9.0416,43.61,26023.7784,1.0,,,,
9.0372,43.61,29545.5909,1.0,,,,
9.0431,43.61,24856.5985,1.0,,,,
9.0353,43.605,26172.1892,1.0,,,,
9.0329,43.605,34938.462,1.0,,,,
9.0168,43.605,23218.5603,1.0,,,,
8.9834,43.605,30655.7442,1.0,,,,
9.0457,43.605,27080.2114,1.0,,,,
9.0106,43.605,25311.9469,1.0,,,,
9.0296,43.605,27150.3442,1.0,,,,
9.0291,43.605,27108.1755,1.0,,,,
9.0581,43.605,27578.2815,1.0,,,,
8.9946,43.605,29286.4322,1.0,,,,
9.0284,43.601,29245.7022,1.0,,,,
9.0255,43.601,29624.9628,1.0,,,,
9.0349,43.601,28002.8672,1.0,,,,
9.0005,43.601,28489.5687,1.0,,,,
9.056,43.601,25809.0047,1.0,,,,
9.0292,43.601,27082.414,1.0,,,,
9.0263,43.601,29464.4377,1.0,,,,
8.9966,43.601,24785.8717,1.0,,,,
8.9773,43.601,23525.6063,1.0,,,,
9.012,43.601,24175.0753,1.0,,,,
8.9667,43.602,32503.3457,1.0,,,,
8.9762,43.602,32077.09,1.0,,,,
8.9911,43.602,28525.9535,1.0,,,,
8.9837,43.602,27634.9688,1.0,,,,
8.9759,43.602,28216.9451,1.0,,,,
9.0113,43.602,29595.3207,1.0,,,,
8.9983,43.602,30746.2021,1.0,,,,
8.9899,43.602,29993.8303,1.0,,,,
9.0047,43.602,25909.4176,1.0,,,,
8.9607,43.602,30050.1446,1.0,,,,
8.9969,43.598,26867.5978,1.0,,,,
8.9602,43.598,22270.7931,1.0,,,,
9.0063,43.598,21769.2586,1.0,,,,
8.9328,43.598,20904.4487,1.0,,,,
8.9548,43.598,24521.9941,1.0,,,,
8.9036,43.598,32697.0273,1.0,,,,
9.0031,43.598,21100.7794,1.0,,,,
9.0018,43.598,29957.2862,1.0,,,,
8.9393,43.598,28813.3224,1.0,,,,
9.0468,43.598,27011.3685,1.0,,,,
8.9416,43.607,21912.3565,1.0,,,,
8.9185,43.607,24697.4005,1.0,,,,
8.9117,43.607,28834.7385,1.0,,,,
8.9887,43.607,25185.1241,1.0,,,,
8.9526,43.607,29926.4524,1.0,,,,
8.9201,43.607,28607.1671,1.0,,,,
8.9056,43.607,31234.9476,1.0,,,,
8.9732,43.607,26909.2355,1.0,,,,
8.9292,43.607,29967.1025,1.0,,,,
8.9655,43.607,24083.0019,1.0,,,,
8.9435,43.603,25396.6545,1.0,,,,
8.9444,43.603,23566.2359,1.0,,,,
8.9013,43.603,28714.4992,1.0,,,,
8.8922,43.603,32737.5561,1.0,,,,
8.8636,43.603,28415.4713,1.0,,,,
9.0064,43.603,29559.3905,1.0,,,,
8.8579,43.603,26881.9578,1.0,,,,
9.0019,43.603,25473.6672,1.0,,,,
8.9663,43.603,23303.0649,1.0,,,,
8.9121,43.603,29742.9426,1.0,,,,
8.9739,43.599,25085.8957,1.0,,,,
8.9136,43.599,23426.4001,1.0,,,,
8.937,43.599,26015.3454,1.0,,,,
8.8875,43.599,27757.7569,1.0,,,,
8.8953,43.599,24043.2772,1.0,,,,
8.9102,43.599,26107.5073,1.0,,,,
8.9248,43.599,24875.7974,1.0,,,,
8.919,43.599,32285.4496,1.0,,,,
8.8687,43.599,22981.464,1.0,,,,
8.8898,43.599,28908.6063,1.0,,,,
8.9282,43.599,28503.5357,1.0,,,,
8.8193,43.599,30187.5758,1.0,,,,
8.8467,43.599,35178.3414,1.0,,,,
8.8973,43.599,29754.9158,1.0,,,,
8.8586,43.599,28858.4791,1.0,,,,
8.8549,43.599,28173.492,1.0,,,,
8.9193,43.599,30719.8695,1.0,,,,
8.8552,43.599,28755.713,1.0,,,,
8.8661,43.599,28369.2717,1.0,,,,
8.8847,43.599,25094.2598,1.0,,,,
8.9092,43.598,23690.089,1.0,,,,
8.9001,43.598,27720.4001,1.0,,,,
8.8459,43.598,33474.8731,1.0,,,,
